"N° Id","Tipo Imbarcazioni Ship Type","Nomi Imbarcazioni Ship Name","Naz. Imbarcazioni Ship Nationality","Porto Partenza Departure Place","Partenza Departure","Porto Arrivo Arrival Place","Arrivo Arrival","Porto Scalo Portcall Place","Merce Articles","Fonte Sources","Persona People Info"
00625,,,,Genova,14/11/1387,,,,,"Archivio di Stato di Prato (Datini)","Antonino di Francesco da Panicaglia (padrone)"
00626,vacchetta,,,Genova,21/01/1388,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonino di Francesco da Panicaglia (padrone)"
00627,barca,,,Genova,21/01/1388,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonio da Panicaglia (padrone)"
00628,vacchetta,,,Livorno,12/06/1387,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonino Giambone (padrone)"
00629,vacchetta,,,Livorno,14/03/1391,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonio di Gambone (padrone)"
00630,,,,Livorno,,Pisa,16/08/1392,,,"Archivio di Stato di Prato (Datini)","Antonio di Gambone (padrone)"
00631,,,,Livorno,12/11/1392,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonio di Gambone (padrone)"
00632,vacchetta,,,"Porto Venere",,Pisa,10/02/1393,,,"Archivio di Stato di Prato (Datini)","Antonio di Gambone (padrone)"
00633,liuto,,,Pisa,29/11/1392,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonino d'Ugolino (padrone)"
00634,bargia,,,Barcellona,04/08/1386,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonio d'Anselmo (padrone)"
00637,legno,,,Barcellona,,Maiorca,27/07/1395,,,"Archivio di Stato di Prato (Datini)","Antonio d'Oro (padrone)"
00638,,,,Pisa,01/01/1393,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonio Busone (padrone)"
00639,,,,Genova,,Pisa,20/02/1393,,,"Archivio di Stato di Prato (Datini)","Antonio Busone (padrone)"
00640,,,,Southampton,11/07/1392,Genova,01/09/1392,,"lana, panni per Genova (Firenze)","Archivio di Stato di Prato (Datini)","Ostiano Basso di Genova (padrone), Antonio da Castello di Genova (padrone), Francesco Vacca (padrone)"
00643,nave,,,Genova,,Pisa,10/04/1391,,,"Archivio di Stato di Prato (Datini)","Antonio da Castello di Genova (padrone)"
00644,,,,,,Valenza,03/04/1409,,,"Archivio di Stato di Prato (Datini)","Antonio da Cavarzere (padrone)"
00646,barca,,,Livorno,,Pisa,03/11/1395,,,"Archivio di Stato di Prato (Datini)","Antonio di Gaglioffino (padrone)"
00648,barca,,,Valenza,10/09/1401,Ibiza,,,,"Archivio di Stato di Prato (Datini)","Antonio di Gerona (padrone)"
00649,scafa,,,Pisa,07/01/1393,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonio di Giorgio (padrone)"
00650,,,,Genova,,Pisa,17/09/1392,,,"Archivio di Stato di Prato (Datini)","Antonio di Ghisello (padrone)"
00651,,,,Sciacca,,Livorno,18/05/1397,,grano,"Archivio di Stato di Prato (Datini)","Antonio di Lorca di Savona (padrone)"
00653,barca,,,Livorno,30/10/1393,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antone di Lugo di Livorno (padrone)"
00654,barca,,,Livorno,,Pisa,10/11/1393,,,"Archivio di Stato di Prato (Datini)","Antone di Lugo di Livorno (padrone)"
00655,,,,Livorno,,Pisa,06/03/1394,,,"Archivio di Stato di Prato (Datini)","Antone di Lugo di Livorno (padrone)"
00658,nave,,,Genova,,Piombino,10/08/1403,,rena,"Archivio di Stato di Prato (Datini)","Antonio da Moneglia (padrone)"
00659,,,,Romania,,Bruges,07/06/1407,Candia,"malvasie, spezie, cotoni, allumi","Archivio di Stato di Prato (Datini)","Ambrogio Ardimento di Genova (padrone), Antonio da Moneglia (padrone), Lancellotto da Bozzolo di Genova (padrone)"
00662,,,,Genova,30/05/1384,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonio da Montenero (padrone)"
00665,,,,Pisa,07/10/1393,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonio da Nervi (padrone)"
00667,,,,Livorno,,Pisa,11/11/1393,,,"Archivio di Stato di Prato (Datini)","Antonio di Nieri di Livorno (padrone)"
00668,barca,,,Livorno,,Pisa,04/07/1392,,,"Archivio di Stato di Prato (Datini)","Antonio di Nieri di Livorno (padrone)"
00669,,,,Livorno,,Pisa,05/04/1394,,,"Archivio di Stato di Prato (Datini)","Antonio di Nieri di Livorno (padrone)"
00670,,,,Genova,,Piombino,10/08/1407,,,"Archivio di Stato di Prato (Datini)","Antonio da Nozziglia di Genova (padrone)"
00672,barca,,,Pisa,01/07/1392,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonio di Pachino (padrone)"
00673,,,,Pisa,01/10/1392,Roma,,,,"Archivio di Stato di Prato (Datini)","Antonio di Pachino (padrone)"
00674,saettia,,,Roma,23/10/1392,Pisa,09/11/1392,,,"Archivio di Stato di Prato (Datini)","Antonio di Pachino (padrone)"
00675,saettia,,,Pisa,27/11/1392,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonio di Pachino (padrone)"
00681,,,,Livorno,,Pisa,01/04/1395,,,"Archivio di Stato di Prato (Datini)","Antonio di Piero (padrone)"
00682,barca,,,Pisa,05/05/1396,Livorno,,,,"Archivio di Stato di Prato (Datini)","Antonio Pellegrino (padrone)"
00684,liuto,,,Genova,,Pisa,16/08/1393,,,"Archivio di Stato di Prato (Datini)","Antonio di Perduomo (padrone)"
00685,liuto,,,Pisa,18/06/1399,Livorno,,,,"Archivio di Stato di Prato (Datini)","Antonio di Perduomo (padrone)"
00686,vacchetta,,,Genova,,Pisa,22/03/1394,,,"Archivio di Stato di Prato (Datini)","Antonio da Porto Venere (padrone)"
00688,brigantino,,,Genova,23/06/1397,Motrone,,,,"Archivio di Stato di Prato (Datini)","Antonio di Salvetto (padrone)"
00695,,,,Sicilia,,Livorno,31/10/1391,,"grano di Genova","Archivio di Stato di Prato (Datini)","Antonio da Strugiano di Genova (padrone)"
00699,,,,Livorno,21/12/1392,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonio del Troiano di Livorno (padrone)"
00700,,,,Livorno,,Pisa,26/02/1393,,,"Archivio di Stato di Prato (Datini)","Antonio del Troiano di Livorno (padrone)"
00702,,,,Livorno,,Pisa,31/03/1395,,,"Archivio di Stato di Prato (Datini)","Antonio del Troiano di Livorno (padrone)"
00703,,,,Livorno,,Pisa,24/05/1395,,,"Archivio di Stato di Prato (Datini)","Antonio del Troiano di Livorno (padrone)"
00704,barca,,,Livorno,28/05/1395,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonio del Troiano di Livorno (padrone)"
00705,barca,,,Livorno,02/06/1395,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonio Troiano (padrone)"
00706,,,,Livorno,,Pisa,07/06/1395,,,"Archivio di Stato di Prato (Datini)","Antonio del Troiano di Livorno (padrone)"
00707,,,,Livorno,,Pisa,16/06/1395,,,"Archivio di Stato di Prato (Datini)","Antonio del Troiano di Livorno (padrone)"
00708,,,,Livorno,13/05/1396,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonio del Troiano di Livorno (padrone)"
